time,x,y,z,vx,vy,vz
0.0,42157.0,0.0,0.0,-0.0,3.0657435531802064,0.0
0.12060301507537688,42135.98849279211,1330.8353524351176,0.0,-0.0967810779247164,3.064215553256939,0.0
0.24120603015075376,42072.97491589577,2660.344099248383,0.0,-0.19346568236619618,3.0596330766306896,0.0
0.36180904522613067,41968.02208261482,3987.200957207279,0.0,-0.28995743600806895,3.0520006912138182,0.0
0.4824120603015075,41821.234612215965,5310.083286539769,0.0,-0.38616015377183527,3.0413260051340942,0.0
0.6030150753768844,41632.758825641984,6627.672409370391,0.0,-0.48197793869624506,3.0276196591507523,0.0
0.7236180904522613,41402.78259965583,7938.654924207037,0.0,-0.5773152775294738,3.0108953160475482,0.0
0.8442211055276382,41131.535179561004,9241.724015168124,0.0,-0.6720771359388089,2.991169647013403,0.0
0.964824120603015,40819.286950684866,10535.580754645089,0.0,-0.7661690532429404,2.9684623150241967,0.0
1.085427135678392,40466.34916885262,11818.935398101676,0.0,-0.8594972365724209,2.9427959552422878,0.0
1.2060301507537687,40073.073650120765,13090.508669719335,0.0,-0.9519686543644389,2.9141961524532896,0.0
1.3266331658291457,39639.85242007919,14349.033037607183,0.0,-1.043491129098703,2.8826914155626007,0.0
1.4472361809045227,39167.117323071536,15593.253977305367,0.0,-1.1339734291819992,2.848313149177108,0.0
1.5678391959798994,38655.339591723394,16821.931222322295,0.0,-1.2233253598898264,2.811095622300391,0.0
1.6884422110552764,38105.029377207335,18033.840000459306,0.0,-1.311457853274461,2.7710759341726345,0.0
1.809045226130653,37516.73524071314,19227.772254690168,0.0,-1.3982830569498215,2.7282939772892987,0.0
1.92964824120603,36891.043606630075,20402.537847378655,0.0,-1.4837144216646412,2.682792397635411,0.0
2.050251256281407,36228.57817798633,21556.965746633567,0.0,-1.5676667875766397,2.6346165521751237,0.0
2.170854271356784,35529.99931472824,22689.90519361883,0.0,-1.6500564691417086,2.583814463638903,0.0
2.2914572864321605,34796.00337545915,23800.226849654926,0.0,-1.730801338533483,2.5304367726534287,0.0
2.4120603015075375,34027.322023294015,24886.823921968225,0.0,-1.8098209075101415,2.4745366872619137,0.0
2.5326633165829144,33224.72149652169,25948.613266966106,0.0,-1.8870364076468373,2.416169929885172,0.0
2.6532663316582914,32389.001844801933,26984.536469938055,0.0,-1.9623708688537789,2.3553946817762967,0.0
2.7738693467336684,31520.99613165852,27993.560900106448,0.0,-2.0357491961016874,2.292271525024322,0.0
2.8944723618090453,30621.5696040634,28974.680739975385,0.0,-2.107098244278156,2.226863382164678,0.0
3.015075376884422,29691.61882993971,29926.91798795141,0.0,-2.176346891100287,2.1592354534566427,0.0
3.135678391959799,28732.07080444331,30849.323433236852,0.0,-2.2434261080109343,2.089455151890298,0.0
3.2562814070351758,27743.882025913954,31740.977602023675,0.0,-2.3082690289878647,2.0175920359878052,0.0
3.3768844221105527,26728.037542416867,32600.991674045046,0.0,-2.370811017197267,1.9437177404659496,0.0
3.4974874371859297,25685.549969825428,33428.50836857069,0.0,-2.430989729425153,1.8679059048290996,0.0
3.618090452261306,24617.45848242365,34222.702798962964,0.0,-2.4887451782224286,1.7902320999637475,0.0
3.738693467336683,23524.82777703466,34982.78329494179,0.0,-2.544019791701687,1.7107737528078055,0.0
3.85929648241206,22408.747011707746,35707.992191738806,0.0,-2.5967584709261184,1.6296100691697522,0.0
3.979899497487437,21270.32872002192,36397.60658535408,0.0,-2.64690864483333,1.546821954774557,0.0
4.100502512562814,20110.70770208825,37050.93905316258,0.0,-2.694420322639323,1.4624919346150953,0.0
4.221105527638191,18931.039893356465,37667.338339151946,0.0,-2.7392461436703917,1.376704070689444,0.0
4.341708542713568,17732.50121235331,38246.190003108655,0.0,-2.7813414245732764,1.2895438782060475,0.0
4.4623115577889445,16516.2863885014,38786.91703310542,0.0,-2.8206642038565004,1.2010982403403034,0.0
4.582914572864321,15283.607771186982,39288.980420679196,0.0,-2.8571752837184947,1.111455321627521,0.0
4.703517587939698,14035.694121263637,39751.87969812654,0.0,-2.890838269120824,1.0207044800785947,0.0
4.824120603015075,12773.789386196833,40175.15343738074,0.0,-2.9216196040675473,0.9289361781060012,0.0
4.944723618090452,11499.15146006994,40558.37970997327,0.0,-2.9494886050545683,0.8362418923488905,0.0
5.065326633165829,10213.050929688095,40901.176507621356,0.0,-2.974417491655618,0.7427140224871882,0.0
5.185929648241205,8916.769808029658,41203.20212302208,0.0,-2.996381414214387,0.6484457991355843,0.0
5.306532663316583,7611.6002563077545,41464.15549047364,0.0,-3.0153584786152057,0.5535311909092275,0.0
5.427135678391959,6298.843295915928,41683.77648598427,0.0,-3.031329768107573,0.45806481075376854,0.0
5.547738693467337,4979.807511541687,41861.846186569375,0.0,-3.0442793621627837,0.3621418216331165,0.0
5.668341708542713,3655.8077467408166,41998.18708847883,0.0,-3.054194352343861,0.26585784166892606,0.0
5.788944723618091,2328.1637932727413,42092.663284136506,0.0,-3.061064855172965,0.16930884882637479,0.0
5.909547738693467,998.1990755034623,42145.18059761595,0.0,-3.0648840219834574,0.07259108524124538,0.0
6.030150753768844,-332.7606688127654,42155.68667851695,0.0,-3.0656480457468045,-0.024199038716338193,0.0
6.150753768844221,-1663.388710057585,42124.17105414958,0.0,-3.063356164867503,-0.12096504054585906,0.0
6.271356783919598,-2992.3586492614013,42050.6651399736,0.0,-3.058010663942256,-0.21761046179225682,0.0
6.391959798994975,-4318.345740286858,41935.24220828284,0.0,-3.0496168714826384,-0.3140389641978234,0.0
